english,polish,alternatives
nightdress,koszula nocna,ˈnaɪtdres
nightfall,zmierzch,ˈnaɪtfɔ:l
nightgown,koszula nocna,ˈnaɪtgaʊn
nightie,koszulka nocna,ˈnaɪtɪ
nightingale,słowik,ˈnaɪtɪŋgeɪl
nightlife,życie nocne,ˈnaɪtlaɪf
nightly,wieczorem,wieczorny|ˈnaɪtlɪ
nightmare,ˈnaɪtmeə,
nightmarish,koszmarny,ˈnaɪtmeərɪʃ
nighttime,ciemność,night-time|noc|ˈnaɪttaɪm
nightwatchman,night-watchman,stróż nocny|ˌnaɪtˈwɒʧmən
nil,nɪl,zero
nimble,ˈnɪmbəl,
nine,dziewięć,naɪn
nineteen,dziewiętnaście,ˌnaɪnˈti:n
nineteenth,dziewiętnasty,ˌnaɪnˈti:nθ
ninetieth,dziewięćdziesiąty,ˈnaɪntɪɪθ
ninety,dziewięćdziesiąt,ˈnaɪntɪ
ninth,dziewiąty,naɪnθ
nip,nɪp,ukąszenie
nipple,ˈnɪpəl,
nippy,ˈnɪpɪ,
nit,nɪt,
nitrogen,azot,ˈnaɪtrəʤən
no,no.,"numer|numero
  nr|nəʊ"
nobility,nəʊˈbɪlɪtɪ,wyższe warstwy
noble,"imponujący
ii.    szlachcic",ˈnəʊbəl
nobleman,szlachcic,ˈnəʊbəlmən
nobody,nikt,ˈnəʊbədɪ
nocturnal,nocny,nɒkˈtɜ:nəl
nod,nɒd,"skinąć
 2.  wskazywać głową"
node,nəʊd,węzeł
nodule,guzek,węzeł|ˈnɒdju:l
noise,nɔɪz,zakłócenia
noiseless,bezgłośny,cichy|ˈnɔɪzlɪs
noisy,hałaśliwy,ˈnɔɪzɪ
nomad,ˈnəʊmæd,
nomadic,nomadyczny,nəʊˈmædɪk|wędrowny
nomans land,no-man's land,pogranicze|ziemia niczyja|ˈnəʊmænzlænd
nominate,mianować,ˈnɒmɪneɪt
nomination,"1.  nominacja 
 2.  mianowanie",ˌnɒmɪˈneɪʃən
nominee,elekt,nominat|ˌnɒmɪˈni:
nonalcoholic,bezalkoholowy,non-alcoholic|ˌnɒnælkəˈhɒlɪk
nonchalant,nonszalancki,ˈnɒnʃələnt
noncommittal,pełen rezerwy,wymijający|ˌnɒnkəˈmɪtəl
nondescript,nieokreślonego rodzaju,ˈnɒndɪskrɪpt
none,nʌn,
nonentity,nikt,nikt ważny|nɒnˈentɪtɪ
nonetheless,ˌnʌnðəˈles,
nonevent,nic ciekawego,non-event|żadne wydarzenie|ˌnɒnɪˈvent
nonexistent,nieistniejący,non-existent|ˌnɒnɪgˈzɪstənt
nonfiction,literatura faktu,non-fiction|ˌnɒnˈfɪkʃən
nonplussed,zakłopotany,ˌnɒnˈplʌst
nonsense,1.  nonsens,czynić coś bezsensownym|ˈnɒnsəns
nonsensical,nonsensowny,nɒnˈsensɪkəl
nonsmoker,niepalący,non-smoker|ˌnɒnˈsməʊkə
nonstarter,niewypał,non-starter|ˌnɒnˈstɑ:tə
nonviolent,bez przemocy,non-violent|pokojowy|ˌnɒnˈvaɪələnt
noodles,makaron,makaron nitki|ˈnu:dəlz
nook,kącik,kąt|nu:k
noon,nu:n,południe
noone,nikt,no-one|ˈnəʊwʌn
noose,nu:s,pętla
nor,ani ona,nɔ:
norm,norma,nɔ:m
normal,normalny,zwyczajny|ˈnɔ:məl
normality,normalność,nɔ:ˈmælɪtɪ
normally,"1.  normalnie
 2.  zazwyczaj",ˈnɔ:məlɪ
north,nɔ:θ,
northeast,north-east,ˌnɔ:θˈi:st
northeastern,north-eastern,północno-wschodni|ˌnɔ:θˈi:stən
northerly,północny,ˈnɔ:ðəlɪ
northern,północny,ˈnɔ:ðən
northward,ˈnɔ:θwəd,
northwest,north-west,ˌnɔ:θˈwest
northwestern,north-western,północno-zachodni|ˌnɔ:θˈwestən
norway,norwegia,ˈnɔ:weɪ
norwegian,"i.    norweski
ii.    norweg",nɔ:ˈwi:ʤən
nos,"nos.
  numery",
nosebleed,krwotok z nosa,ˈnəʊzbli:d
nosedive,"pikowanie
 2.  gwałtowne spadanie",spadanie|ˈnəʊzdaɪv
nosey,wścibski,ˈnəʊzɪ
nostalgia,nɒsˈtælʤɪə,
nostalgic,cierpiący na nostalgię,nostalgiczny|nɒsˈtælʤɪk
nostril,nozdrza,ˈnɒstrɪl
nosy,wścibski,ˈnəʊzɪ
nota bene,notabene,
notable,godny uwagi,ˈnəʊtəbəl
notably,ˈnəʊtəblɪ,
notarial,notarialny,nəʊˈtærɪal
notary,notariusz,ˈnəʊtərɪ
notation,nəʊˈteɪʃən,zapis
notch,nɒʧ,osiągać
note,nəʊt,
notebook,notatnik,notes|ˈnəʊtbʊk
noted,znany,ˈnəʊtɪd
notepaper,papier listowy,ˈnəʊtpeɪpə
noteworthy,godny uwagi,ˈnəʊtwɜ:ðɪ
notice,ˈnəʊtɪs,
noticeable,widoczny,ˈnəʊtɪsəbəl
noticeboard,tablica ogłoszeń,ˈnəʊtɪsbɔ:d
notification,zawiadomienie,ˌnəʊtɪfɪˈkeɪʃən
notify,zawiadamiać,ˈnəʊtɪfaɪ
notion,opinia,pojęcie|ˈnəʊʃən
notoriety,notoryczność,rozgłos|ˌnəʊtəˈraɪətɪ
notorious,być znanym z czegoś,nəˈtɔ:rɪəs
notwithstanding,jednakże,mimo to|pomimo|ˌnɒtwɪθˈstændɪŋ
nought,nɔ:t,zero
noun,naʊn,rzeczownik
nourish,piastować,ˈnʌrɪʃ
nourishing,odżywczy,ˈnʌrɪʃɪŋ
nourishment,pożywienie,ˈnʌrɪʃmənt
nov,"nov.
  listopad",
novel,"i.    powieść
ii.    nowatorski",ˈnɒvəl
novelist,powieściopisarz,ˈnɒvəlɪst
novelty,ˈnɒvəltɪ,
november,listopad,nəʊˈvembə
novice,nowicjusz,ˈnɒvɪs
nowadays,obecnie,ˈnaʊədeɪz
nowhere,1.  nigdzie,"coś prowadzi donikąd|donikąd
 2.  *from|ˈnəʊweə"
noxious,szkodliwy,trujący|ˈnɒkʃəs
nozzle,dysza,ssawka|wylot|ˈnɒzəl
nr,"nr
  blisko",w pobliżu
nt,nowy testament,
nuance,niuans,ˈnju:ɑ:ns
nuclear,atomowy,nuklearny|ˈnju:klɪə
nucleus,ˈnju:klɪəs,
nude,nju:d,
nudge,nʌʤ,
nudity,nagość,ˈnju:dɪtɪ
nugget,1.  rodzynek,"interesująca wiadomość|wiadomość
 2.  bryłka|ˈnʌgɪt"
nuisance,1.  a. utrapienie,ˈnju:səns
null,bez znaczenia,nʌl
numb,nʌm,"powodować kostnienie
 2.  paraliżować"
number,"pomyłka''
iii.  number plate",ˈnʌmbə|ˈnʌmbəpleɪt
numeral,"i.    liczbowy
ii.    liczebnik",ˈnju:mərəl
numerate,ˈnju:mərət,
numerical,liczbowy,nju:ˈmerɪkəl
numero,no.,"numer|numero
  nr"
numerous,ˈnju:mərəs,
nun,nʌn,zakonnica
nurse,i.    pielęgniarka,nɜ:s
nursery,przedszkole,ˈnɜ:sərɪ|ˈnɜ:sərɪ raɪm|ˈnɜ:sərɪ sku:l
nursing,"karmiący
iii.  nursing home",prywatny szpital|szpital|ˈnɜ:sɪŋ|ˈnɜ:sɪŋ həʊm
nurture,1.  doglądać,"wychowywać
 2.  dopomagać|ˈnɜ:ʧə"
nut,nʌt,
nutcase,szajbus,ˈnʌtkeɪs
nutcracker,dziadek do orzechów,nutcrackers|ˈnʌtkrækə
nutcrackers,dziadek do orzechów,nutcracker|ˈnʌtkrækə
nutmeg,gałka muszkatołowa,ˈnʌtmeg
nutrient,substancja odżywcza,ˈnju:trɪənt
nutrition,nju:ˈtrɪʃən,odżywianie się
nutritious,nju:ˈtrɪʃəs,odżywczy
nutshell,ˈnʌʧel,
nutty,ˈnʌtɪ,
nuzzle,ocierać się,ˈnʌzəl
nw,"nw
  płn.-zach.",północno-zachodni
ny,nowy jork,
nyc,miasto nowy jork,
nylon,ˈnaɪlən,
nz,nowa zelandia,
née,nee,z domu|ˈniː
o,əʊ,
oaf,bęcwał,əʊf
oak,dąb,əʊk
oar,wiosło,
oas,organizacja państwa amerykańskich,
oasis,oaza,əʊˈeɪsɪs
oath,əʊθ,
oatmeal,ˈəʊtmi:l,
oau,organizacja jedności afrykańskiej,
obedient,posłuszny,əˈbi:dɪənt
obese,otyły,əʊˈbi:s
obey,być posłusznym,stosować się|əˈbeɪ
obituary,nekrolog,əˈbɪtjʊərɪ
object,"obiekt
 2.  cel","object
i.   1.  przedmiot"
objection,1.  wątpliwość,əbˈʤekʃən
objectionable,niestosowny,niewłaściwy|əbˈʤekʃənəbəl
objective,əbˈʤektɪv,
obligation,1.  zobowiązanie,ˌɒblɪˈgeɪʃən
obligatory,obowiązkowy,əˈblɪgətərɪ
oblige,əˈblaɪʤ,
obliging,uczynny,əˈblaɪʤɪŋ
oblique,1.  pośredni,"skośny|wymijający
 2.  ukośny|əˈbli:k"
obliterate,unicestwiać,əˈblɪtəreɪt
oblivion,"1.  nieświadomość
 2.  zapomnienie",əˈblɪvɪən
oblivious,nieświadomy,əˈblɪvɪəs
oblong,ˈɒblɒŋ,
obnoxious,nieznośny,przykry|əbˈnɒkʃəs
oboe,obój,ˈəʊbəʊ
obscene,nieprzyzwoity,obsceniczny|əˈbsi:n
obscenity,əˈbsenɪtɪ,
obscure,"niejasny
 3.  zamazany","niewyraźny
ii.    zaciemniać|əbˈskjʊə"
obsequious,służalczy,əbˈsi:kwɪəs
observable,dostrzegalny,əbˈzɜ:vəbəl
observance,przestrzeganie,əbˈzɜ:vəns
observant,spostrzegawczy,əbˈzɜ:vənt
observation,ˌɒbzəˈveɪʃən,
observatory,obserwatorium,əbˈzɜ:vətərɪ
observe,əbˈzɜ:v,
observer,komentator,əbˈzɜ:və
obsess,əbˈses,
obsession,obsesja,əbˈseʃən
obsessional,obsesyjny,əbˈseʃənəl
obsessive,obsesyjny,əbˈsesɪv
obsolete,przestarzały,ˈɒbsəli:t
obstacle,przeszkoda,ˈɒbstəkəl
obstetrics,położnictwo,əbˈstetrɪks
obstinate,uparty,ˈɒbstɪnət
obstruct,"1.  tarasować
 2.  blokować",əbˈstrʌkt
obstruction,1.  przeszkoda,"zator
 2.  obstrukcja|əbˈstrʌkʃən"
obtain,osiągać,uzyskiwać|əbˈteɪn
obtainable,osiągalny,əbˈteɪnəbəl
obtrusive,narzucający się,natrętny|əbˈtru:sɪv
obtuse,əbˈtju:s,
obvious,oczywisty,ˈɒbvɪəs
obviously,ˈɒbvɪəslɪ,
occasion,czasami,əˈkeɪʒən
occasional,okazjonalny,okresowy|əˈkeɪʒənəl
occult,magiczny,sekretny|ˈɒkʌlt
occupant,osoba,ˈɒkjəpənt
occupation,ˌɒkjəˈpeɪʃən,
occupational,zawodowy,ˌɒkjəˈpeɪʃənəl
occupier,mieszkaniec,posiadacz|ˈɒkjəpaɪə
occupy,ˈɒkjəpaɪ,
occur,1.  zdarzać się,əˈkɜ:
occurrence,əˈkʌrəns,
ocean,ˈəʊʃən,
ocr,"ocr
  optyczne rozpoznawianie znaków",
oct,"oct.
  październik",
octagon,ośmiokąt,ˈɒktəgən
octave,oktawa,ˈɒktɪv
october,październik,ɒkˈtəʊbə
octopus,ośmiornica,ˈɒktəpəs
oculist,okulista,ˈɒkjəlɪst
odd,klamoty,ɒd|ˌɒdzənˈendz
oddity,"1.  dziwactwo
 2.  dziwaczność",ˈɒdɪtɪ
oddments,różności,ˈɒdmənts
oddson,odds-on,prawie pewne|ədzˈɒn
oder,"the oder 
 - odra",ˈəʊdə
odious,nienawistny,wstrętny|ˈəʊdɪəs
odor,odour,zapach|ˈəʊdə
odour,odor,zapach|ˈəʊdə
of,miasto,wybór|ɒv|əv
offal,podroby,ˈɒfəl
offcolour,niezdrowy,off-colour|ˌɒfˈkʌlə
offence,offense,əˈfens
offend,əˈfend,
offender,"sprawca wykroczenia
 2.  winowajca",əˈfendə
offense,offence,əˈfens
offensive,əˈfensɪv,
offering,1.  propozycja,"oferta
 2.  ofiara|ˈɒfərɪŋ"
offhand,od razu,off-hand|ɒfˈhænd
office,ˈɒfɪs,
officer,ˈɒfɪsə,
official,urzędnik,əˈfɪʃəl
officious,nadgorliwy,əˈfɪʃəs
offing,ˈɒfɪŋ,
offlicence,off-licence,sklep monopolowy|ˈɒflaɪsəns
offline,1.  tryb rozłączny,nie podlegający systemowi operacyjnemu|off-line|rozłączny|ˈɒfˌlaɪn
offload,przerzucać,ˌɒfˈləʊd
offpeak,off-peak,ˌɒfˈpi:k
offputting,odstręczający,off-putting|ˈɒfpʊtɪŋ
offset,i.    wyrównywać,"równoważyć
ii.    druk offsetowy|ˈɒfset"
offshoot,odrośl,ˈɒfʃu:t
offshore,ˌɒfˈʃɔ:,
offside,na spalonym,ˌɒfˈsaɪd
offspring,potomstwo,ˈɒfsprɪŋ
often,ˈɒfən,
ogle,przypatrywać się lubieżnie,ˈəʊgəl
ogre,ogr,potwór|ˈəʊgə
oh,ach,əʊ
ohio,əˈhaɪəʊ,
ohms,w służbie państwa,
oil,"obraz olejny
iv.  oilrig",szyb naftowy|ɔɪl|ˈɔɪlpeɪntɪŋ|ˈɔɪlrɪg
oilfield,złoże ropy,ˈɔɪlfi:ld
oily,1.  zatłuszczony,ˈɔɪlɪ
ointment,ˈɔɪntmənt,
okay,ˌəʊˈkeɪ,
oklahoma,ˌəʊkləˈhəʊmə,
old,ile lat pani ma?,stara panna|əʊld|ˌəʊldˈmeɪd
oldfashioned,"1.  staromodny
 2.  staroświecki",old-fashioned|ˌəʊldˈfæʃənd
olevel,o-level,ˈəʊˌlevəl
olive,ˈɒlɪv,
olympic,igrzyska olimpijskie,ðə əˌlɪmpɪk ˈgeɪmz|əˈlɪmpɪk
omelet,omelette,omlet|ˈɒmlɪt
omelette,omelet,omlet|ˈɒmlɪt
omen,ˈəʊmən,
ominous,przerażający,złowieszczy|ˈɒmɪnəs
omission,1.  opuszczenie,"luka
 2.  pominięcie|əˈmɪʃən"
omit,zaniedbywać,əˈmɪt
omnibus,antologia,zbiór|ˈɒmnɪbəs
on to,onto,ˈɒntʊ
once,już,wʌns
oncoming,nadchodzący,nadciągający|ˈɒnkʌmɪŋ
one,się,wʌn
oneman,jednoosobowy,one-man|wʌnˈmæn
oneoff,one-off,wʌnˈɒf
onerous,ciężki,uciążliwy|ˈɒnərəs
ones,one's,swój|wʌnzˈ
oneself,1.  siebie,wʌnˈself
onesided,jednostronny,one-sided|wʌnˈsaɪdɪd
onetime,niegdysiejszy,niegdyś|one-time|wʌnˈtaɪm
oneway,one-way,wʌnˈweɪ
ongoing,trwający,zachodzący|ˈɒngəʊɪŋ
onion,cebula,ˈʌnjən
online,1.  tryb bezpośredni,on-line|podległy systemowi operacyjnemu|ˈɒnˌlaɪn
onlooker,widz,ˈɒnlʊkə
only,gdy,ˈəʊnlɪ
onrush,przypływ,ˈɒnrʌʃ
onset,początek,ˈɒnset
onshore,ˌɒnˈʃɔ:,
onslaught,atak,ˈɒnslɔ:t
onto,on to,ˈɒntʊ
onus,ciężar,obowiązek|ˈəʊnəs
onward,dalej,onwards|wprzód|ˈɒnwəd
onwards,dalej,onward|wprzód|ˈɒnwəd
oops,bęc,ʊps
ooze,szlam,u:z
opal,ˈəʊpəl,
opaque,1.  nieprzezroczysty,əʊˈpeɪk
opec,ˈəʊpek,
open,powstawać,sklep|ˈəʊpən
openended,open-ended,otwarty|otwarty na wszystko|ˌəʊpənˈendɪd
opener,otwieracz,ˈəʊpənə
opening,godziny otwarcia,"godziny pracy|miejsce|praca
iii.  opening hours|szansa
 5.  miejsce pracy"
openly,otwarcie,ˈəʊpənlɪ
openminded,o otwartym umyśle,open-minded|światły|ˌəʊpənˈmaɪndɪd
opera,ˈɒpərə,
operate,przeprowadzać operację,ˈɒpəreɪt
operatic,operowy,ˌɒpəˈrætɪk
operating system,system operacyjny,ˈɒpəˌreɪtɪŋ ˌsɪstəm
operation,ˌɒpəˈreɪʃən,
operational,do zastosowania,ˌɒpəˈreɪʃənəl
operative,ˈɒpərətɪv,
operator,"1.  operator
 2.  telefonista","telefonistka
 3.  przedsiębiorca|ˈɒpəreɪtə"
operetta,operetka,ˌɒpəˈretə
opinion,əˈpɪnjən,
opinionated,lepiej wiedzący,əˈpɪnjəneɪtɪd
opium,ˈəʊpɪəm,
opp,"opp.
  naprzeciw",
opponent,oponent,przeciwnik|əˈpəʊnənt
opportune,w samą porę,zbawczy|ˈɒpətju:n
opportunism,oportunizm,ˈɒpətju:nɪzəm
opportunity,sposobność,ˌɒpəˈtju:nɪtɪ
oppose,sprzeciwiać się,əˈpəʊz
opposed,"1.  przeciwny 
 2.  przeciwstawny",əˈpəʊzd
opposing,przeciwstawny,əˈpəʊzɪŋ
opposite,ˈɒpəzɪt,
opposition,ˌɒpəˈzɪʃən,
oppress,1.  prześladować,"przygniatać|uciskać
 2.  działać opresyjnie|əˈpres"
oppression,1.  prześladowanie,"ucisk|ucisk
 2.  opresja|əˈpreʃən"
oppressive,"1.  przygniatający
 2.  uciskający",əˈpresɪv
opt,i.    optować,nie udzielać się|ɒpt
optical,ˈɒptɪkəl,ˌɒptɪkəl ˈkærəktə ˌrekəˈgnɪʃən
optician,optyk,ɒpˈtɪʃən
optimism,optymizm,ˈɒptɪmɪzəm
optimistic,optymistyczny,ˌɒptɪˈmɪstɪk
optimum,optymalny,ˈɒptɪməm
option,możliwość,opcja|ˈɒpʃən
optional,do wyboru,opcjonalny|ˈɒpʃənəl
opulent,bogaty,ˈɒpjələnt
or,albo,
oracle,wyrocznia,ˈɔ:rəkəl
oral,ˈɔ:rəl,
orange,ˈɒrɪnʤ,
orangutan,orangutang,ɔ:ˌræŋu:ˈtæn
orangutang,orangutan,ɔ:ˌræŋu:ˈtæn
oration,oracja,przemówienie|ɔ:ˈreɪʃən
orbit,krążyć,ˈɔ:bɪt
orch,"orch.
  orkiestra",
orchard,sad,ˈɔ:ʧəd
orchestra,ˈɔ:kɪstrə,
orchestrate,1.  aranżować,"organizować
 2.  zorkiestrować|orkiestrować|ˈɔ:kɪstreɪt"
orchid,orchidea,ˈɔ:kɪd
ordain,ɔ:ˈdeɪn,
ordeal,ciężkie przeżycie,ɔ:ˈdi:l
orderly,ˈɔ:dəlɪ,
ordinarily,zwykle,ˈɔ:dənərɪlɪ
ordinary,ˈɔ:dɪnərɪ,
ordination,wyświęcenie,ˌɔ:dɪˈneɪʃən
ore,ruda,
oregon,ˈɒrɪgən,
organ,ˈɔ:gən,
organic,"1.  organiczny
 2.  naturalny",ɔ:ˈgænɪk
organisation,"1.  organizacja
 2.  uorganizowanie",organization|ˌɔ:gənaɪˈzeɪʃən
organisational,organizacyjny,organizational|ˌɔ:gənaɪˈzeɪʃənəl
organise,organize,zrzeszać się|ˈɔ:gənaɪz
organism,organizm,ˈɔ:gənɪzəm
organist,organista,ˈɔ:gənɪst
organization,"1.  organizacja
 2.  uorganizowanie",organisation|ˌɔ:gənaɪˈzeɪʃən
organizational,organisational,organizacyjny|ˌɔ:gənaɪˈzeɪʃənəl
organize,organise,zrzeszać się|ˈɔ:gənaɪz
orgasm,orgazm,szczytowanie|ˈɔ:gəzəm
orgy,"1.  orgia
 2.  rozpasanie",ˈɔ:ʤɪ
oriental,orientalny,wschodni|ˌɔ:rɪˈentəl
orientate,ˈɔ:rɪenteɪt,
origin,origins,pochodzenie|ˈɒrɪʤɪn
original,əˈrɪʤɪnəl,
originate,brać początek,əˈrɪʤɪneɪt
originator,autor,twórca|əˈrɪʤɪneɪtə
origins,origin,pochodzenie|ˈɒrɪʤɪn
ornament,ˈɔ:nəmənt,
ornamental,ornamentalny,ozdobny|ˌɔ:nəˈmentəl
ornate,ozdobny,ɔ:ˈneɪt
ornithology,ornitologia,ˌɔ:nɪˈθɒləʤɪ
orphan,ˈɔ:fən,
orphanage,sierociniec,ˈɔ:fənɪʤ
orthodox,ˈɔ:θədɒks,
orthodoxy,ˈɔ:θədɒksɪ,
orthopaedic,ˌɔ:θəˈpi:dɪk,
oscillate,oscylować,ˈɒsɪleɪt
ostensible,rzekomy,ɒsˈtensɪbəl
ostentation,ostentacja,ˌɒstənˈteɪʃən
ostentatious,1.  wystawny na pokaz,"bogaty
 3.  ostentacyjny|ˌɒstənˈteɪʃəs"
ostracise,ostracize,ˈɒstrəsaɪz
ostracize,ostracise,ˈɒstrəsaɪz
ostrich,struś,ˈɒstrɪʧ
ot,stary testament,
other,ˈʌðə,
otherwise,ˈʌðəwaɪz,
otter,wydra,ˈɒtə
ouch,au,aʊʧ
ought,powinien,ɔ:t
ounce,aʊns,
our,nasz,ˈaʊə
ours,nasz,ˈaʊəz
ourselves,aʊəˈselvz,"siebie|sobie
 2.  sami"
oust,aʊst,usuwać|wypierać
outandout,kompletny,out-and-out|zupełny|ˌaʊtənˈaʊt
outback,pustkowie,ˈaʊtbæk
outbreak,wybuch,ˈaʊtbreɪk
outbuilding,budynek gospodarczy,dobudówka|ˈaʊtbɪldɪŋ
outburst,"1.  wybuch
 2.  eksplozja",przypływ|ˈaʊtbɜ:st
outcast,wyrzutek,ˈaʊtkɑ:st
outclass,deklasować,przewyższać|ˈaʊtklɑ:s
outcome,wynik,ˈaʊtkʌm
outcry,wrzawa,wybuch oburzenia|ˈaʊtkraɪ
outdated,przestarzały,ˌaʊtˈdeɪtɪd
outdo,pokonywać,przewyższać|ˌaʊtˈdu:
outdoor,"1.  wyjściowy
 2.  zewnętrzny",na wolnym powietrzu|ˌaʊtˈdɔ:
outdoors,ˌaʊtˈdɔ:z,
outer,przestrzeń kosmiczna,ˈaʊtə|ˌaʊtə ˈspeɪs
outermost,najbardziej zewnętrzny,ˈaʊtəməʊst
outfit,placówka,ˈaʊtfɪt
outgoing,ˌaʊtˈgəʊɪŋ,
outgrow,wyrastać,ˌaʊtˈgrəʊ
outing,wycieczka,wyprawa|ˈaʊtɪŋ
outlandish,aʊtˈlændɪʃ,dziwaczny
outlast,przetrwać,przeżyć|ˌaʊtˈlɑ:st
outlaw,ˈaʊtlɔ:,
outlay,inwestycja,ˈaʊtleɪ
outlet,ˈaʊtlɪt,
outline,szkic,ˈaʊtlaɪn
outlive,przetrwać,przeżyć|ˌaʊtˈlɪv
outlook,1.  poglądy,"światopogląd
 2.  prospekt|ˈaʊtlʊk"
outlying,odległy,prowincjonalny|ˈaʊtlaɪɪŋ
outmoded,przestarzały,ˌaʊtˈməʊdɪd
outnumber,przewyższać liczebnie,ˌaʊtˈnʌmbə
outoftheway,odludny,out-of-the-way|ˌaʊtəvðəˈweɪ
outpatient,out-patient,pacjent ambulatoryjny|ˈaʊtpeɪʃənt
outpost,placówka,ˈaʊtpəʊst
output,ˈaʊtpʊt,
outrage,i.    gniewać,"szokować
ii.   1.  rozgniewanie|ˈaʊtreɪʤ"
outrageous,aʊtˈreɪʤəs,szokujący|wzburzający
outright,ˈaʊtraɪt,
outset,od razu,ˈaʊtset
outside,i.    zewnętrze,tuż za|ˌaʊtˈsaɪd
outsider,1.  człowiek niezależny,ˌaʊtˈsaɪdə
outsize,ˌaʊtˈsaɪz,
outskirts,the outskirts  przedmieścia,ˈaʊtskɜ:ts
outsmart,przechytrzać,ˌaʊtˈsmɑ:t
outspoken,otwarty,szczery|ˌaʊtˈspəʊkən
outstanding,"1.  wybitny
 2.  znakomity",ˌaʊtˈstændɪŋ
outstretched,wyciągnięty,ˌaʊtˈstreʧt
outstrip,przewyższyć,prześcignąć|ˌaʊtˈstrɪp
outward,outwards,podróż za granicę|ˈaʊtwəd
outwards,outward,podróż za granicę|ˈaʊtwəd
outweigh,przeważać,ˌaʊtˈweɪ
outwit,przechytrzać,ˌaʊtˈwɪt
outworn,zużyty,ˌaʊtˈwɔ:n
oval,ˈəʊvəl,
ovary,jajnik,ˈəʊvərɪ
ovation,aplauz,oklaski|əˈveɪʃən
oven,kuchenka,piecyk|piekarnik|ˈʌvən
over,ˈəʊvə,
overall,"fartuch
 2. overalls  kombinezon",ogrodniczki
overawe,przerażać,ˌɒvərˈɔ:
overbalance,przeważać,ˌəʊvəˈbæləns
overbearing,apodyktyczny,ˌəʊvəˈbeərɪŋ
overboard,za burtę,ˈəʊvəbɔ:d
overcast,zaciągnięty chmurami,ˈəʊvəkɑ:st
overcharge,brać za dużo,liczyć za dużo|ˌəʊvəˈʧɑ:ʤ
overcoat,gruby płaszcz,płaszcz|ˈəʊvəkəʊt
overcome,ˌəʊvəˈkʌm,
overcrowded,przeludniony,zatłoczony|ˌəʊvəˈkraʊdɪd
overcrowding,przeludnienie,ˌəʊvəˈkraʊdɪŋ
overdo,przesadzać,ˌəʊvəˈdu:
overdone,za długo gotowany,za długo smażony|ˌəʊvəˈdʌn
overdose,zbyt duża dawka,ˈəʊvədəʊz
overdraft,przekroczenie salda,ˈəʊvədrɑ:ft
overdraw,przekroczyć saldo,ˈəʊvədrɔ:
overdue,"1.  opóźniony
 2.  zaległy",ˌəʊvəˈdju:
overestimate,przeceniać,ˌəʊvərˈestɪmeɪt
overgrown,zarosły,ˌəʊvəˈgrəʊn
overhang,ˌəʊvəˈhæŋ,
overhaul,modernizacja,"modernizować
ii.    reforma|ˌəʊvəˈhɔ:l"
overhead,ˌəʊvəˈhed,
overhear,podsłuchiwać,ˌəʊvəˈhɪə
overheat,przegrzewać się,ˌəʊvəˈhi:t
overjoyed,zachwycony,ˌəʊvəˈʤɔɪd
overland,ˈəʊvəlænd,
overlap,część wspólna,
overload,przeciążać,ˌəʊvəˈləʊd
overlook,ignorować,ˌəʊvəˈlʊk
overnight,ˌəʊvəˈnaɪt,
overpass,przejazd,wiadukt|ˈəʊvəpɑ:s
overpopulated,przeludniony,ˌəʊvəˈpɒpjəleɪtɪd
overpower,"i.    przemóc
ii.    owładnąć",ˌəʊvəˈpaʊə
overrate,przeceniać,ˌəʊvəˈreɪt
override,nie stosować się do,ˌəʊvəˈraɪd
overriding,naczelny,najważniejszy|ˌəʊvəˈraɪdɪŋ
overrule,"1.  uchylać
 2.  przegłosowywać",ˌəʊvəˈru:l
overrun,przekraczać,ˌəʊvəˈrʌn
overseas,ˌəʊvəˈsi:z,
oversee,mieć pieczę,mieć pieczę nad czymś|nadzorować|ˌəʊvəˈsi:
overseer,nadzorca,ˈəʊvəsi:ə
overshadow,ˌəʊvəˈʃædəʊ,
overshoot,przenosić,udawać się za daleko|ˌəʊvəˈʃʊt
oversight,niedopatrzenie,ˈəʊvəsaɪt
oversimplify,upraszczać,ˌəʊvəˈsɪmplɪfaɪ
oversize,nadmiarowy,oversized|większy niż zwykle|ˈəʊvəsaɪz
oversized,nadmiarowy,oversize|większy niż zwykle|ˈəʊvəsaɪz
oversleep,przesypiać,spać za długo|ˌəʊvəˈsli:p
overstate,przesadzać,wyolbrzymiać|ˌəʊvəˈsteɪt
overt,otwarty,əʊˈvɜ:t
overtake,1.  wyprzedzać,ˌəʊvəˈteɪk
overthrow,"odrzucać
ii.    obalenie","overthrow
i.   1.  obalać|przewrót|zrzucać
 2.  porzucać"
overtime,ˈəʊvətaɪm,
overtone,nuta,sugestia|ˈəʊvətəʊn
overture,ˈəʊvətjʊə,
overturn,1.  przewracać się,pozbawiać władzy|ˌəʊvəˈtɜ:n
overview,przegląd,ˈəʊvəvju:
overweight,nadwaga,ˈəʊvəweɪt
overwhelm,miażdżyć,przytłaczać|ˌəʊvəˈwelm
overwhelming,przygniatający,ˌəʊvəˈwelmɪŋ
overwork,i.   1.  przepracowywać się,zapracowywać się|ˌəʊvəˈwɜ:k
overwrought,napięty,spięty|ˌəʊvəˈrɔ:t
ow,au,aʊ
owe,əʊ,
owing to,dzięki,z powodu|ˈəʊɪŋtʊ
owl,aʊl,sowa
own,i.    posiadać,"mieć
ii.    własny|ˈəʊn"
owner,właściciel,ˈəʊnɚ
